Code,Food Category,Food Group,Major Food Code,Minor Food Code,Age Group,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,201516,201617,201718,201819,RSE indicator(a),% change since 201516,sig(b),trend since 201516(c)
cat520,Milk and milk products excluding cheese,,,,75_and_over,ml,"2,488","2,530","2,419","2,477","2,524","2,522","2,458","2,434","2,557","2,416","2,496","2,430","2,337","2,398","2,318","2,281","2,258","2,381","2,289",ŸŸ,+0,,
4006,,"Liquid wholemilk, including school and welfare",,,75_and_over,ml,747,764,795,743,517,647,481,518,503,451,484,335,392,288,355,339,317,397,261,,-23,,
4,,,"Liquid wholemilk, full price",,75_and_over,ml,747,764,793,743,517,647,479,518,503,451,484,335,392,288,355,339,317,397,261,,-23,,
402,,,,UHT milk,75_and_over,ml,9,4,27,19,19,22,29,17,4,27,8,1,4,6,12,17,8,5,12,ž,-27,,
403,,,,Sterilised,75_and_over,ml,61,44,19,11,6,15,9,7,0,3,6,6,5,0,1,1,0,7,0,ž,-100,,
404,,,,Pasteurised/ homogenised,75_and_over,ml,677,715,747,713,492,611,440,494,498,420,470,328,383,282,342,321,309,385,249,,-22,,
501,,,School milk (d),,75_and_over,ml,,,,,,,,,,,,,,,,,,,,,,,
601,,,Welfare milk(i),,75_and_over,ml,0,0,2,0,0,0,2,0,0,,,,,,,,,,,,,,
9017,,Other milk and cream,,,75_and_over,ml,"1,741","1,766","1,624","1,734","2,007","1,874","1,978","1,916","2,055","1,965","2,012","2,095","1,945","2,110","1,963","1,942","1,941","1,984","2,028",ŸŸ,+4,,
15,,,Skimmed milks,,75_and_over,ml,"1,308","1,381","1,254","1,370","1,584","1,458","1,571","1,511","1,591","1,535","1,561","1,650","1,517","1,648","1,522","1,500","1,426","1,458","1,587",Ÿ,+6,,
1502,,,,Fully skimmed milk,75_and_over,ml,160,180,198,176,203,151,290,227,213,187,245,203,223,216,171,172,219,199,242,,+40,,
1503,,,,Semi-skimmed milk,75_and_over,ml,"1,147","1,201","1,056","1,194","1,380","1,307","1,281","1,284","1,378","1,348","1,316","1,447","1,294","1,431","1,352","1,328","1,207","1,260","1,345",Ÿ,+1,,
901,,,Condensed or evaporated milk,,75_and_over,eq ml,40,50,54,35,42,56,39,39,42,37,34,61,32,38,38,35,59,66,26,ž,-26,,
11,,,Infant milks,,75_and_over,eq ml,0,0,2,3,9,5,1,6,0,0,0,0,0,1,20,20,9,12,1,ž,-95,,
1102,,,,Infant or baby milks - ready to drink,75_and_over,eq ml,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,20,0,0,1,ž,-95,,
1103,,,,Infant or baby milks - dried,75_and_over,eq ml,0,0,2,3,9,5,1,6,0,0,0,0,0,0,0,0,9,12,0,ž, , ,
1201,,,Instant dried milk,,75_and_over,eq ml,144,54,49,24,18,24,25,16,30,15,10,15,13,3,19,21,3,21,9,ž,-56,,
13,,,Yoghurt and fromage frais,,75_and_over,ml,147,160,163,187,221,206,212,213,237,239,246,227,221,252,216,226,233,245,228,Ÿ,+1,,
1301,,,,Yoghurt,75_and_over,ml,140,155,156,181,213,199,204,207,228,232,240,221,215,246,212,223,229,240,221,Ÿ,-1,,
1302,,,,Fromage frais,75_and_over,ml,7,5,7,6,8,6,8,6,9,7,6,5,6,6,4,4,4,5,7,ž,+92,,
16,,,Other milks and dairy desserts,,75_and_over,ml,76,92,78,89,98,99,98,107,125,105,127,106,128,133,112,110,173,144,146,,+33,,
1603,,,,Dairy desserts - not frozen,75_and_over,ml,44,53,57,54,63,48,59,55,71,64,76,62,67,70,71,70,89,64,65,,-7,,
1605,,,,Dried milk products,75_and_over,ml,8,6,7,7,9,5,3,5,10,0,9,7,9,4,6,4,0,8,0,ž,-100,,
1607,,,,Milk drinks and other milks (e),75_and_over,ml,24,32,15,7,12,18,22,25,17,22,20,15,19,21,15,15,28,13,57,ž,+281,yes,k
1608,,,,Non-dairy milk substitutes (e),75_and_over,ml,,,,20,14,28,13,22,28,19,22,22,33,38,20,21,56,58,24,ž,+18,,
17,,,Cream,,75_and_over,ml,27,29,23,26,34,28,31,23,30,35,34,36,34,35,35,31,38,38,31,,-1,,
22023,,Cheese,,,75_and_over,g,94,102,97,100,110,106,110,105,116,119,121,113,125,121,107,111,108,120,128,Ÿ,+15,,k
22,,,Natural cheese,,75_and_over,g,85,91,87,93,100,98,100,97,108,108,112,104,116,111,99,101,99,111,120,Ÿ,+19,yes,k
2201,,,,Hard cheese - cheddar type,75_and_over,g,54,57,57,57,62,65,61,61,71,69,66,61,73,65,61,61,64,68,65,Ÿ,+6,,
2202,,,,Hard cheese - other uk or foreign equivalent,75_and_over,g,14,16,13,14,14,11,17,15,15,14,17,14,12,12,11,12,11,13,12,,-2,,
2203,,,,Hard cheese - edam or other foreign,75_and_over,g,5,6,5,8,7,4,5,3,6,8,7,8,8,8,5,6,5,9,10,,+71,yes,k
2205,,,,Cottage cheese,75_and_over,g,6,5,4,4,5,5,4,6,5,4,5,8,3,5,3,4,6,2,10,ž,+112,,
2206,,,,Soft natural cheese,75_and_over,g,7,8,9,10,12,13,13,12,11,13,18,13,19,20,19,17,14,20,24,,+42,,k
