<<<<<<< HEAD
"Survey_Year","hh_categorisation_number","hh_categorisation_description","Food_code","Food_Code_description","ew:Sum(expenditure_*_household_weight)","ew2:Sum(expenditure_squared_*_household_weight_squared)","mw:Sum(members_of_household_*_household_weight)","mw2:(Sum(members_of_household_squared_*_household_weight_squared)","ewmw:Sum(expenditure_*_weighted_number_of_household_members_*_household_weight)","Combined_hh_categorisation_and_food_code","Estimate_of_average_expenditure:0.5*(ew/mw)","calc1:ew2/(ew*ew)","calc2:ewmw/(ew*mw)","calc3:mw2/(mw*mw)","standard_error:estimate_of_average_expenditure_*_(Square_Root(calc1-calc2+calc3)","residual_standard_error:standard_error_*_100/Estimate_of_average_expenditure"
201819,1,"Under 30","402","UHT whole milk",264.1,69748.81,5755.08,274339.0194,1468.396,"1_402",0.0229449460302898,1,0.00193220598149809,0.00828294641715785,0.0230176894177585,100.317034467515
201819,1,"Under 30","404","Pasteurised or homogenised whole milk",193620.64,1396411458.7858,5755.08,274339.0194,8305294.6657,"1_404",16.82171577111,0.0372486126064358,0.0149067176259974,0.00828294641715785,2.94379263717851,17.4999546849688
201819,1,"Under 30","901","Condensed or evaporated milk",5211,10096924.905,5755.08,274339.0194,426680.8875,"1_901",0.452730457265581,0.371832186065812,0.0284551413452455,0.00828294641715785,0.268473356760451,59.3009267328702
201819,1,"Under 30","1102","Infant or baby milks - ready to drink",0,0,5755.08,274339.0194,0,"1_1102",0,0,0,0.00828294641715785,0,0
201819,1,"Under 30","1103","Infant or baby milks - dried",217879.07,6203998446.0685,5755.08,274339.0194,12056995.6634,"1_1103",18.9292824773939,0.130689487433988,0.0192310157028669,0.00828294641715785,6.55022699985487,34.6036729478649
201819,1,"Under 30","1301","Yoghurt",401496.92,3883483773.1582,5755.08,274339.0194,17654035.3919,"1_1301",34.8819582004073,0.024091123765708,0.0152805999350573,0.00828294641715785,4.56053693685772,13.0741998790781
201819,1,"Under 30","1302","Fromage frais",51405.93,208188583.1323,5755.08,274339.0194,2137851.1072,"1_1302",4.46613513626222,0.0787826288650207,0.01445249624374,0.00828294641715785,1.20348113282592,26.9468141045354
201819,1,"Under 30","1502","Fully skimmed milk",38970.89,137476876.5007,5755.08,274339.0194,964103.1099,"1_1502",3.38578177888057,0.090520930182533,0.00859729423333805,0.00828294641715785,1.01689960350354,30.0344106595007
201819,1,"Under 30","1503","Semi-skimmed milk",354783.72,2101439684.0936,5755.08,274339.0194,16174273.4946,"1_1503",30.82352634542,0.0166951206970474,0.0158430841866199,0.00828294641715785,2.94602340228046,9.55771046202245
201819,1,"Under 30","1603","Dairy desserts - not frozen",144717.14,867999584.0208,5755.08,274339.0194,5712766.9163,"1_1603",12.5729911660655,0.0414457091373058,0.0137184537841666,0.00828294641715785,2.38589533382529,18.9763541731011
201819,1,"Under 30","1607","Milk drinks & other milks",80048.68,436357236.3886,5755.08,274339.0194,4503290.3472,"1_1607",6.95461053538787,0.0680979178049808,0.0195503440501833,0.00828294641715785,1.65792022560887,23.8391527055714
201819,1,"Under 30","1608","Non-dairy milk substitutes",101956.34,523571707.237,5755.08,274339.0194,3830238.0209,"1_1608",8.85794289566783,0.0503671870078606,0.0130553992232396,0.00828294641715785,1.89142977022906,21.3529235004902
201819,1,"Under 30","1701","Cream",69479.67,207422942.5565,5755.08,274339.0194,2879141.5756,"1_1701",6.03637742655185,0.0429676198344727,0.0144007099925677,0.00828294641715785,1.15876210873829,19.1963163807703
201819,1,"Under 30","2201","Hard cheese - Cheddar type",416395.89,3136392007.6281,5755.08,274339.0194,16436089.0868,"1_2201",36.1763772180404,0.0180891212618814,0.0137173646283319,0.00828294641715785,4.06959370489037,11.2493124459708
201819,1,"Under 30","2202","Hard cheese - Other UK or foreign equivalent",68324.71,2519492344.3689,5755.08,274339.0194,1813569.105,"1_2202",5.93603477275729,0.539706252002881,0.00922433235634444,0.00828294641715785,4.35708537405253,73.4006039528078
201819,1,"Under 30","2203","Hard cheese - Edam or other foreign",111495.16,1272657508.6284,5755.08,274339.0194,4768372.4597,"1_2203",9.68667333903265,0.102376319897023,0.0148625314470906,0.00828294641715785,2.99812687779415,30.9510476183102
201819,1,"Under 30","2205","Cottage cheese",13651.31,39330973.7057,5755.08,274339.0194,656717.3657,"1_2205",1.18602260959014,0.211050332356428,0.0167179415416264,0.00828294641715785,0.53386214441807,45.0128134237307
201819,1,"Under 30","2206","Soft natural cheese",196664.61,1747984966.8675,5755.08,274339.0194,8646720.4805,"1_2206",17.0861751704581,0.0451944663686264,0.0152793132722198,0.00828294641715785,3.33937915901574,19.5443340929192
201819,1,"Under 30","2301","Processed cheese",88849.65,783129387.9501,5755.08,274339.0194,3719592.0252,"1_2301",7.7192367438854,0.0992023771298669,0.0145484999599295,0.00828294641715785,2.35325111511878,30.4855414232871
201819,1,"Under 30","3103","Beef joints - boned",23104.95,189905952.9969,5755.08,274339.0194,659721.1866,"1_3103",2.007352634542,0.355736569562736,0.00992279522641092,0.00828294641715785,1.19449579364716,59.5060266488599
201819,1,"Under 30","3104","Beef steak - less expensive",69206.35,383174552.4905,5755.08,274339.0194,1915180.0171,"1_3104",6.01263144908498,0.0800027230427577,0.00961705915705604,0.00828294641715785,1.68641836603586,28.0479251109346
