"Survey_Year","hh_categorisation_number","hh_categorisation_description","Food_code","Food_Code_description","ew:Sum(expenditure_*_household_weight)","ew2:Sum(expenditure_squared_*_household_weight_squared)","mw:Sum(members_of_household_*_household_weight)","mw2:(Sum(members_of_household_squared_*_household_weight_squared)","ewmw:Sum(expenditure_*_weighted_number_of_household_members_*_household_weight)","Combined_hh_categorisation_and_food_code","Estimate_of_average_expenditure:0.5*(ew/mw)","calc1:ew2/(ew*ew)","calc2:ewmw/(ew*mw)","calc3:mw2/(mw*mw)","standard_error:estimate_of_average_expenditure_*_(Square_Root(calc1-calc2+calc3)","residual_standard_error:standard_error_*_100/Estimate_of_average_expenditure"
201819,1,"SELF EMPLOYED","402","UHT whole milk",22372.92,102768705.2464,37027.73,1815897.7055,589195.9352,"1_402",0.302110337306662,0.205312572970737,0.00142245972805204,0.00132445498826259,0.136857839542433,45.3006145908582
201819,1,"SELF EMPLOYED","404","Pasteurised or homogenised whole milk",1147463.4,11278263612.719,37027.73,1815897.7055,57362947.7436,"1_404",15.4946495504855,0.00856573348116624,0.00270019746991851,0.00132445498826259,1.313850441741,8.47938146300207
201819,1,"SELF EMPLOYED","901","Condensed or evaporated milk",77955.91,396608989.9947,37027.73,1815897.7055,3980890.2709,"1_901",1.05266931027098,0.0652626137404146,0.00275825280641329,0.00132445498826259,0.26595022103342,25.2643654031254
201819,1,"SELF EMPLOYED","1102","Infant or baby milks - ready to drink",85505.49,2090685469.0991,37027.73,1815897.7055,3191099.4049,"1_1102",1.1546142580169,0.285956979163211,0.00201580835198628,0.00132445498826259,0.61668251878875,53.4102636016231
201819,1,"SELF EMPLOYED","1103","Infant or baby milks - dried",797089.58,33545383601.1332,37027.73,1815897.7055,35147106.2656,"1_1103",10.7634140683212,0.0527981248781806,0.0023816906407224,0.00132445498826259,2.4483133013272,22.7466237551248
201819,1,"SELF EMPLOYED","1201","Instant dried milk",18266.52,81109276.367,37027.73,1815897.7055,633616.0076,"1_1201",0.246660003192202,0.243085410053397,0.00187358426921584,0.00132445498826259,0.121475050850214,49.2479726255248
201819,1,"SELF EMPLOYED","1301","Yoghurt",3488121.93,33136173786.3567,37027.73,1815897.7055,147589137.8262,"1_1301",47.1014821864586,0.00272344772720735,0.00228541801015208,0.00132445498826259,1.97741239517025,4.19819569019581
201819,1,"SELF EMPLOYED","1302","Fromage frais",266530.31,1032302028.6335,37027.73,1815897.7055,12941115.1072,"1_1302",3.59906359369046,0.0145316045868584,0.00262257552043549,0.00132445498826259,0.414025051347426,11.5036881280246
201819,1,"SELF EMPLOYED","1502","Fully skimmed milk",651421.83,5707453924.2383,37027.73,1815897.7055,25567646.7539,"1_1502",8.79640515365105,0.0134498610491731,0.00211997801208104,0.00132445498826259,0.989520828057462,11.249150201395
201819,1,"SELF EMPLOYED","1503","Semi-skimmed milk",3316116.93,33882981228.7587,37027.73,1815897.7055,168572657.1875,"1_1503",44.7788310274489,0.00308121457457169,0.00274574501711918,0.00132445498826259,1.82438681723536,4.07421715881113
201819,1,"SELF EMPLOYED","1603","Dairy desserts - not frozen",1004073.86,6819998454.435,37027.73,1815897.7055,46413817.4191,"1_1603",13.5584042013918,0.00676476874248619,0.00249680448673393,0.00132445498826259,1.01393108459203,7.47824795257208
201819,1,"SELF EMPLOYED","1605","Dried milk products",61710.4,1958576397.985,37027.73,1815897.7055,2760050.725,"1_1605",0.833299799906719,0.514308608670426,0.00241580351956621,0.00132445498826259,0.596969172111512,71.6391834221414
201819,1,"SELF EMPLOYED","1607","Milk drinks & other milks",547832.18,4716129754.3362,37027.73,1815897.7055,26469271.9613,"1_1607",7.39759337123826,0.0157141417536132,0.00260974073339749,0.00132445498826259,0.888600196981834,12.0120173195339
201819,1,"SELF EMPLOYED","1608","Non-dairy milk substitutes",740079.43,7029372973.0743,37027.73,1815897.7055,30032847.0333,"1_1608",9.99358359262099,0.0128339375102481,0.0021919017229767,0.00132445498826259,1.09321266578052,10.9391456592981
